cliente_id,eventos_fracionamento,eventos_valor_atipico,volume_total_brl,risco_regra,risco_agente,concorda,distancia,tipologia_agente,justificativa_agente
CLI-014,0,3,80629.99,medio,medio,True,0,Movimentação atípica sem fundamentação econômica aparente,"O cliente CLI-014 apresentou 3 operações sinalizadas pela Regra 2 por ultrapassarem 5 vezes a sua mediana histórica (mediana de R$ 2.308,41, enquanto a maior operação atingiu R$ 23.640,97). Embora o volume total e a quantidade de operações sejam moderados (11 operações totalizando R$ 80.629,99), a concentração de valores atípicos justifica a classificação de risco médio para monitoramento e checagem de comprovação de renda/origem dos recursos."
CLI-023,0,2,148535.02,medio,medio,True,0,Movimentação atípica em espécie e valor incompatível com o padrão histórico,"O cliente CLI-023 foi sinalizado por apresentar operações significativamente acima de sua mediana (valor mediano de R$ 3.241,16, com picos de até R$ 65.417,17). Embora a maior parte das operações ocorra via TED e boletos com valores moderados, a identificação de transações em espécie com volumes elevados e atípicos justifica a classificação de risco médio para monitoramento contínuo de lavagem de dinheiro."
CLI-028,0,2,88750.8,medio,baixo,False,1,Nenhuma tipologia conclusiva identificada,"O cliente CLI-028 apresenta um histórico de apenas 12 operações totalizando R$ 88.750,80, com mediana de R$ 4.430,25. A sinalização ocorreu por duas operações com valores atípicos em relação à mediana, mas consistentes com a faixa de movimentação geral do cliente (maior operação de R$ 27.715,48), utilizando canais tradicionais (TED e cartão) e sem indícios de fracionamento ou concentração em espécie. O perfil transacional não demonstra características típicas de lavagem de dinheiro."
CLI-013,0,2,81730.99,medio,baixo,False,1,Nenhuma tipologia conclusiva identificada,"O cliente CLI-013 apresentou apenas duas operações sinalizadas por valor atípico em relação à sua mediana. Com um histórico total de 10 operações e volume de R$ 81.730,99 distribuídos de forma variada em diferentes canais (com predominância de PIX e TED), os valores elevados pontuais não se mostram suficientes para configurar indícios claros de lavagem de dinheiro, podendo refletir necessidades sazonais ou pontuais legítimas."
CLI-005,0,2,64742.66,medio,medio,True,0,Movimentação atípica em relação ao padrão histórico,"O cliente CLI-005 foi sinalizado por apresentar operações significativamente acima da sua mediana histórica (mediana de R$ 2.144,18 e operações chegando a mais de R$ 30 mil). Embora o volume total movimentado seja moderado (cerca de R$ 64,7 mil em 11 operações) e haja diversificação de contrapartes, a concentração em canais como espécie e cartão em transações de alto valor destoa do perfil habitual, exigindo monitoramento mas sem evidências contundentes de ilicitude no momento."
CLI-026,0,2,54729.28,medio,medio,True,0,Uso atípico de canais físicos e movimentação desalinhada com o padrão histórico,"O cliente CLI-026 apresentou 2 operações sinalizadas por valor atípico (acima de 5x a sua mediana de R$ 2.032,93, com maior operação atingindo R$ 21.261,01). Embora o volume total movimentado seja moderado (R$ 54.729,28 em 12 operações) e haja diversificação de contrapartes, a concentração significativa de operações no canal espécie (41,7%) combinada com picos de valor atípico justifica a classificação de risco médio para monitoramento de prevenção à lavagem de dinheiro."
CLI-001,0,2,47947.81,medio,medio,True,0,Movimentacao atipica e uso inconsistente de canais,"O cliente CLI-001 foi sinalizado pela Regra 2 devido a operacoes com valores superiores a 5x sua mediana (mediana de R$ 1.609,15). A investigacao revelou que o cliente realizou operacoes de maior expressao, incluindo uma transacao em especie de R$ 25.110,15 (que representa mais da metade do volume total movimentado), o que foge ao perfil transacional predominante e indica risco moderado para PLD devido ao uso de dinheiro em especie em valor elevado."
CLI-029,1,0,191385.77,alto,medio,False,1,Fracionamento de Operações (Smurfing / Evitação de Limites),"O cliente CLI-029 foi sinalizado por concentrar 4 transações no dia 26/05/2026 totalizando R$ 71.297,68, mantendo cada operação individual abaixo do patamar de R$ 20.000,00 (valores variando entre R$ 14.326,29 e R$ 19.418,96). Embora o fracionamento em um único dia observável e a diversidade de contrapartes possam indicar um comportamento comercial atípico ou pontual, o padrão é característico de evitação de controles e justifica um nível de risco médio com necessidade de monitoramento contínuo."
CLI-017,1,0,121391.37,alto,medio,False,1,Fracionamento de operações para burlar limites de monitoramento (Smurfing),"O cliente CLI-017 foi sinalizado por realizar 4 operações em um único dia (2026-03-08) que, somadas, ultrapassam R$ 64 mil, sem que nenhuma operação individual supere R$ 20 mil. Essa dinâmica sugere uma tentativa intencional de evitar controles automáticos de monitoramento por valor limite (estruturação ou fracionamento). Embora o histórico geral apresente operações de diversos valores e tipos, o comportamento verificado no dia da infração preenche os critérios da tipologia de fracionamento, justificando uma classificação de risco médio para averiguação mais detalhada da origem e destino dos recursos."
CLI-030,0,1,117780.89,baixo,baixo,True,0,Nenhuma tipologia conclusiva,"O cliente CLI-030 possui histórico com 9 operações e um volume total moderado (R$ 117.780,89). A sinalização ocorreu por conta de uma única operação atípica (maior operação de R$ 77.628,19 frente a uma mediana de R$ 4.611,07). A investigação não apontou outros indícios de comportamentos suspeitos, como estruturação, fracionamento ou concentração em canais de alto risco como espécie, sugerindo que o evento pode ser justificado por uma transação pontual legítima."
